question,ground_truth,contexts,evolution_type
Nghị định 13/2023/NĐ-CP quy định về vấn đề gì?,"Nghị định 13/2023/NĐ-CP quy định về bảo vệ dữ liệu cá nhân và trách nhiệm bảo vệ dữ liệu cá nhân của cơ quan, tổ chức, cá nhân có liên quan.",[],factual
Nghị định 13/2023/NĐ-CP áp dụng cho những đối tượng nào?,"Nghị định áp dụng cho cơ quan, tổ chức, cá nhân Việt Nam; cơ quan, tổ chức, cá nhân nước ngoài tại Việt Nam; cơ quan, tổ chức, cá nhân Việt Nam hoạt động tại nước ngoài; và cơ quan, tổ chức, cá nhân nước ngoài trực tiếp tham gia hoặc có liên quan đến xử lý dữ liệu cá nhân tại Việt Nam.",[],factual
"Theo Nghị định 13, dữ liệu cá nhân là gì?","Dữ liệu cá nhân là thông tin dưới dạng ký hiệu, chữ viết, chữ số, hình ảnh, âm thanh hoặc dạng tương tự trên môi trường điện tử gắn liền với một con người cụ thể hoặc giúp xác định một con người cụ thể.",[],factual
Dữ liệu cá nhân gồm những nhóm nào?,Dữ liệu cá nhân bao gồm dữ liệu cá nhân cơ bản và dữ liệu cá nhân nhạy cảm.,[],factual
Dữ liệu cá nhân cơ bản gồm những thông tin nào?,"Dữ liệu cá nhân cơ bản gồm các thông tin như họ tên, ngày tháng năm sinh, giới tính, nơi sinh, nơi thường trú, quốc tịch, hình ảnh, số điện thoại, số định danh cá nhân, số hộ chiếu, mã số thuế cá nhân, bảo hiểm xã hội, tình trạng hôn nhân, quan hệ gia đình, tài khoản số và các thông tin khác giúp xác định một con người cụ thể.",[],factual
Dữ liệu cá nhân nhạy cảm theo Nghị định 13 bao gồm những loại nào?,"Dữ liệu cá nhân nhạy cảm gồm dữ liệu gắn với quyền riêng tư cá nhân như quan điểm chính trị, tôn giáo, tình trạng sức khỏe, nguồn gốc chủng tộc hoặc dân tộc, đặc điểm di truyền, đặc điểm sinh học, đời sống tình dục, dữ liệu tội phạm, thông tin khách hàng của tổ chức tín dụng, dữ liệu vị trí và các dữ liệu cá nhân đặc thù khác cần bảo mật.",[],factual
Chủ thể dữ liệu có những quyền gì theo Điều 9 Nghị định 13?,"Chủ thể dữ liệu có các quyền như quyền được biết, quyền đồng ý, quyền truy cập, quyền rút lại sự đồng ý, quyền xóa dữ liệu, quyền hạn chế xử lý dữ liệu, quyền cung cấp dữ liệu, quyền phản đối xử lý dữ liệu, quyền khiếu nại, tố cáo, khởi kiện, quyền yêu cầu bồi thường thiệt hại và quyền tự bảo vệ.",[],factual
Quyền đồng ý của chủ thể dữ liệu được hiểu như thế nào?,"Chủ thể dữ liệu được đồng ý hoặc không đồng ý cho phép xử lý dữ liệu cá nhân của mình, trừ các trường hợp được quy định tại Điều 17 của Nghị định.",[],factual
Sự đồng ý của chủ thể dữ liệu chỉ có hiệu lực khi nào?,"Sự đồng ý của chủ thể dữ liệu chỉ có hiệu lực khi chủ thể dữ liệu tự nguyện và biết rõ các nội dung như loại dữ liệu cá nhân được xử lý, mục đích xử lý, tổ chức hoặc cá nhân xử lý, quyền và nghĩa vụ của chủ thể dữ liệu.",[],factual
Chủ thể dữ liệu có nghĩa vụ gì theo Nghị định 13?,"Chủ thể dữ liệu có nghĩa vụ tự bảo vệ dữ liệu cá nhân của mình, yêu cầu các tổ chức, cá nhân liên quan bảo vệ dữ liệu cá nhân, tôn trọng và bảo vệ dữ liệu cá nhân của người khác, cung cấp đầy đủ và chính xác dữ liệu cá nhân khi đồng ý xử lý, và tham gia tuyên truyền kỹ năng bảo vệ dữ liệu cá nhân.",[],factual
